name,description,signature,url
"cupyx.scipy.special.erfc = <ufunc 'cupyx_scipy_erfc'>","Complementary error function.","cupyx.scipy.special.erfc = <ufunc 'cupyx_scipy_erfc'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.erfc.html#cupyx.scipy.special.erfc"
"cupyx.scipy.special.erfcinv = <ufunc 'cupyx_scipy_erfcinv'>","Inverse function of complementary error function.","cupyx.scipy.special.erfcinv = <ufunc 'cupyx_scipy_erfcinv'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.erfcinv.html#cupyx.scipy.special.erfcinv"
"cupyx.scipy.special.erfcx = <ufunc 'cupyx_scipy_erfcx'>","Scaled complementary error function.","cupyx.scipy.special.erfcx = <ufunc 'cupyx_scipy_erfcx'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.erfcx.html#cupyx.scipy.special.erfcx"
"cupyx.scipy.special.erfinv = <ufunc 'cupyx_scipy_erfinv'>","Inverse function of error function.","cupyx.scipy.special.erfinv = <ufunc 'cupyx_scipy_erfinv'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.erfinv.html#cupyx.scipy.special.erfinv"
"cupyx.scipy.special.gamma = <ufunc 'cupyx_scipy_gamma'>","Gamma function.","cupyx.scipy.special.gamma = <ufunc 'cupyx_scipy_gamma'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.gamma.html#cupyx.scipy.special.gamma"
"cupyx.scipy.special.gammaln = <ufunc 'cupyx_scipy_gammaln'>","Logarithm of the absolute value of the Gamma function.","cupyx.scipy.special.gammaln = <ufunc 'cupyx_scipy_gammaln'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.gammaln.html#cupyx.scipy.special.gammaln"
"cupyx.scipy.special.i0 = <ufunc 'cupyx_scipy_i0'>","Modified Bessel function of order 0.","cupyx.scipy.special.i0 = <ufunc 'cupyx_scipy_i0'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.i0.html#cupyx.scipy.special.i0"
"cupyx.scipy.special.i1 = <ufunc 'cupyx_scipy_i1'>","Modified Bessel function of order 1.","cupyx.scipy.special.i1 = <ufunc 'cupyx_scipy_i1'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.i1.html#cupyx.scipy.special.i1"
"cupyx.scipy.special.j0 = <ufunc 'cupyx_scipy_j0'>","Bessel function of the first kind of order 0.","cupyx.scipy.special.j0 = <ufunc 'cupyx_scipy_j0'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.j0.html#cupyx.scipy.special.j0"
"cupyx.scipy.special.j1 = <ufunc 'cupyx_scipy_j1'>","Bessel function of the first kind of order 1.","cupyx.scipy.special.j1 = <ufunc 'cupyx_scipy_j1'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.j1.html#cupyx.scipy.special.j1"
"cupyx.scipy.special.ndtr = <ufunc 'cupyx_scipy_ndtr'>","Cumulative distribution function of normal distribution.","cupyx.scipy.special.ndtr = <ufunc 'cupyx_scipy_ndtr'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.ndtr.html#cupyx.scipy.special.ndtr"
"cupyx.scipy.special.polygamma","Polygamma function n.","cupyx.scipy.special.polygamma(n\, x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.polygamma.html#cupyx.scipy.special.polygamma"
"cupyx.scipy.special.y0 = <ufunc 'cupyx_scipy_y0'>","Bessel function of the second kind of order 0.","cupyx.scipy.special.y0 = <ufunc 'cupyx_scipy_y0'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.y0.html#cupyx.scipy.special.y0"
"cupyx.scipy.special.y1 = <ufunc 'cupyx_scipy_y1'>","Bessel function of the second kind of order 1.","cupyx.scipy.special.y1 = <ufunc 'cupyx_scipy_y1'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.y1.html#cupyx.scipy.special.y1"
"cupyx.scipy.special.zeta = <ufunc 'cupyx_scipy_zeta'>","Hurwitz zeta function.","cupyx.scipy.special.zeta = <ufunc 'cupyx_scipy_zeta'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.zeta.html#cupyx.scipy.special.zeta"
